External ID,Module,Name,State,Priority,Depends On,OWASP,Acceptance Criteria
GUARD-0001,0 Contracts and threat model,Accept Guard supervision ADR,In Review,High,,ASI01;ASI02;ASI03;ASI06,"ADR defines product boundary, trust boundaries, contracts, and non-claims"
GUARD-0002,0 Contracts and threat model,Implement strict v1 content and authority contracts,In Review,Urgent,GUARD-0001,ASI01;ASI02;ASI03;ASI06;ASI07,"Unknown fields and unsupported versions fail closed; canonical fixtures pass"
GUARD-0003,0 Contracts and threat model,Publish cross-language canonicalization test vectors,In Review,High,GUARD-0002,ASI03;ASI07,"Rust, TypeScript, and Python produce identical bytes and digests"
GUARD-0004,0 Contracts and threat model,Define enforcement coverage inventory schema,In Review,Urgent,GUARD-0001,ASI02;ASI04;ASI05,"Every sensitive capability is classified as mediated, observed-only, or bypassable"
GUARD-0005,0 Contracts and threat model,Formalize failure-mode matrix,In Review,High,GUARD-0001,ASI02;ASI03;ASI05;ASI10,"Each surface has a tested closed, cached, or review failure behavior"
GUARD-0006,0 Contracts and threat model,Encode Forge authority restrictions,In Review,Urgent,GUARD-0001,ASI03;ASI10,"Forge has no source, patch, signing, self-approval, or invariant-disable authority"
GUARD-0007,0 Contracts and threat model,Define content-addressed ID and receipt profile,In Review,High,GUARD-0002,ASI03;ASI07,"All IDs and receipts have canonical encodings and collision/error tests"
GUARD-0101,1 Persistent supervisor kernel,Run persistent Guard sidecar over Unix socket,In Review,Urgent,GUARD-0002,ASI01;ASI02;ASI03;ASI06,"Mode-0600 local socket serves concurrent requests and shuts down cleanly"
GUARD-0102,1 Persistent supervisor kernel,Expose five supervision boundaries and Action Guard,In Review,Urgent,GUARD-0101,ASI01;ASI02;ASI06;ASI07,"Ingress, context, model request/response, action, and output endpoints pass integration tests"
GUARD-0103,1 Persistent supervisor kernel,Propagate trace and content provenance,In Review,High,GUARD-0102,ASI01;ASI06;ASI07;ASI08,"One trace links all boundaries and influence content references"
GUARD-0104,1 Persistent supervisor kernel,Embed existing scanner as content inspection engine,In Review,High,GUARD-0102,ASI01;ASI06,"Scanner findings deterministically drive boundary-specific content decisions"
GUARD-0105,1 Persistent supervisor kernel,Embed identity-bound evaluator as Action Guard,In Review,Urgent,GUARD-0102,ASI02;ASI03;ASI10,"Normalized authority request yields only allow, deny, or require_approval"
GUARD-0106,1 Persistent supervisor kernel,Append privacy-preserving local telemetry,In Review,High,GUARD-0103,ASI06;ASI08,"Crash-flushed events omit raw content and include decision evidence"
